,name,all_possible_synonyms_tok
202,Sodium Chloride,table salt
202,Sodium Chloride,dendritic salt
202,Sodium Chloride,solar salt
202,Sodium Chloride,and himalayan salt
203,Rosmarinus Officinalis Leaf Extract,rosmarinus officinalis leaf extract
203,Rosmarinus Officinalis Leaf Extract,rosemary extract
203,Rosmarinus Officinalis Leaf Extract,roe
203,Rosmarinus Officinalis Leaf Extract,and rosemary oleoresin
204,Cetyl Alcohol,cetyl alcohol
205,Tremella Fuciformis Extract,tremella fuciformis extract
205,Tremella Fuciformis Extract,snow mushroom extract and white jelly extract
206,Avena Sativa Kernel Flour,avena sativa kernel flour
206,Avena Sativa Kernel Flour,oatmeal powder
207,Sh-Oligopeptide-1,sh-oligopeptide-1
208,Oryza Sativa Bran Extract,oryza sativa bran extract
208,Oryza Sativa Bran Extract,rice bran extract
209,Glucose,glucose
210,Pentylene Glycol,pentylene glycol
211,Glyceryl Stearate,glyceryl stearate
211,Glyceryl Stearate,glyceryl stearate nse and glyceryl stearate gms-nse
212,Cocamidopropyl Betaine,cocamidopropyl betaine
212,Cocamidopropyl Betaine,1-propanaminium
212,Cocamidopropyl Betaine,hydroxide inner salt
212,Cocamidopropyl Betaine,and capb
213,Capryloyl Salicylic Acid,capryloyl salicylic acid
214,Hydrogenated Jojoba Oil,hydrogenated jojoba oil
214,Hydrogenated Jojoba Oil,jojoba wax beads
215,Portulaca Oleracea Extract,portulaca oleracea extract
215,Portulaca Oleracea Extract,purslane
216,Rose Flower Oil,rose flower oil
216,Rose Flower Oil,rose otto and rose otto essential oil
217,Saccharomyces/Rice Ferment Filtrate,saccharomyces/rice ferment filtrate
218,Panax Ginseng Extract,panax ginseng extract
219,Lanolin,lanolin
219,Lanolin,lanolin butter
219,Lanolin,wool fat
219,Lanolin,and wool wax
220,Phospholipids,phospholipids
221,Lactobacillus/Licorice Root Extract Ferment Filtrate,lactobacillus/licorice root extract ferment filtrate
222,Chamomilla Recutita Extract,chamomilla recutita extract
222,Chamomilla Recutita Extract,matricaria (chamomilla recutita) extract and matricaria extract
223,Hydroxyacetophenone,hydroxyacetophenone
224,Hydrogenated Lecithin,hydrogenated lecithin
225,Hydroxyethyl Urea,hydroxyethyl urea
225,Hydroxyethyl Urea,hydrovance
226,Olea Europaea Fruit Oil,olea europaea fruit oil
226,Olea Europaea Fruit Oil,olive oil
227,Oryza Sativa Bran Oil,oryza sativa bran oil
227,Oryza Sativa Bran Oil,rice bran oil
228,Carbomer,carbomer
229,Aloe Vera Vesicles,aloe vera vesicles
230,Stearic Acid,stearic acid
231,Rosa Canina Seed Oil,rosa canina seed oil
232,Zinc Gluconate,zinc gluconate
233,Saccharomyces/Xylinum/Black Tea Ferment,saccharomyces/xylinum/black tea ferment
234,Alanine,alanine
235,Aloe Barbadensis Leaf Juice Powder,aloe barbadensis leaf juice powder
236,Acetyl Glucosamine,acetyl glucosamine
236,Acetyl Glucosamine,n-acetyl glucosamine
237,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,methylene bis-benzotriazolyl tetramethylbutylphenol
237,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,tinosorb m and bisoctrizole
238,Shea Butter Ethyl Esters,shea butter ethyl esters
239,Potassium Azeloyl Diglycinate,potassium azeloyl diglycinate
239,Potassium Azeloyl Diglycinate,azeloglicina and azeclair
240,Vitis Vinifera Seed Extract,vitis vinifera seed extract
240,Vitis Vinifera Seed Extract,vitis vinifer seed extract and grape seed extract
241,Proline,proline
242,Serine,serine
243,Avena Sativa Kernel Oil,avena sativa kernel oil
243,Avena Sativa Kernel Oil,colloidal oatmeal oil
244,Limnanthes Alba Seed Oil,limnanthes alba seed oil
244,Limnanthes Alba Seed Oil,meadowfoam oil
244,Limnanthes Alba Seed Oil,meadow foam oil
244,Limnanthes Alba Seed Oil,and meadowfoam seed oil
245,Pinus Pinaster Bark Extract,pinus pinaster bark extract
245,Pinus Pinaster Bark Extract,pine bark extract and pine
246,Chondrus Crispus Extract,chondrus crispus extract
246,Chondrus Crispus Extract,irish moss extract and carrageen moss extract
247,Cucumis Sativus Fruit Extract,cucumis sativus fruit extract
248,Dipeptide Diaminobutyroyl Benzylamide Diacetate,dipeptide diaminobutyroyl benzylamide diacetate
249,Biotin,biotin
250,Persea Gratissima Oil,persea gratissima oil
250,Persea Gratissima Oil,avocado oil and persea americana oil
251,Rice Amino Acids,rice amino acids
252,Lactobacillus Ferment Lysate,lactobacillus ferment lysate
253,Lactic Acid/Glycolic Acid Copolymer,lactic acid/glycolic acid copolymer
254,Artemisia Annua Extract,artemisia annua extract
254,Artemisia Annua Extract,sweet wormwood extract and annual mugwort extract
255,Oryza Sativa Bran Water,oryza sativa bran water
255,Oryza Sativa Bran Water,rice bran water
256,Acetyl Octapeptide-3,acetyl octapeptide-3
257,Curcuma Longa Root Extract,curcuma longa root extract
258,Paraffinum Liquidum,paraffinum liquidum
258,Paraffinum Liquidum,mineral oil
259,Hydrogenated Polyisobutene,hydrogenated polyisobutene
259,Hydrogenated Polyisobutene,hydrogenated polyisobutane
260,Allantoin Panthenol,allantoin panthenol
261,Centella Asiatica Leaf Cell Culture Extract,centella asiatica leaf cell culture extract
262,Diethylhexyl Butamido Triazone,diethylhexyl butamido triazone
262,Diethylhexyl Butamido Triazone,iscotrizinol
263,Jojoba Esters,jojoba esters
264,Prunus Amygdalus Dulcis Oil,prunus amygdalus dulcis oil
264,Prunus Amygdalus Dulcis Oil,sweet almond oil
264,Prunus Amygdalus Dulcis Oil,bitter almond essential oil
264,Prunus Amygdalus Dulcis Oil,and almond oil
265,Hippophae Rhamnoides Oil,hippophae rhamnoides oil
265,Hippophae Rhamnoides Oil,sea buckthorn berry oil and seabuckthorn oil
266,Melaleuca Alternifolia Leaf Water,melaleuca alternifolia leaf water
267,Astaxanthin,astaxanthin
267,Astaxanthin,astaxanthin extract
268,Artemisia Princeps Extract,artemisia princeps extract
268,Artemisia Princeps Extract,japanese mugwort and yomogi
269,Clay,clay
270,Sodium Lactate,sodium lactate
271,Hydrochloric Acid,hydrochloric acid
272,Sh-Polypeptide-1,sh-polypeptide-1
273,Collagen Amino Acids,collagen amino acids
274,Diglycerin,diglycerin
275,Royal Jelly Extract,royal jelly extract
276,Lactobacillus/Rice Ferment,lactobacillus/rice ferment
277,Nonapeptide-1,nonapeptide-1
278,Bee Venom,bee venom
278,Bee Venom,apitoxin
279,Calcium Ascorbate,calcium ascorbate
279,Calcium Ascorbate,ester-c and vitamin c ester
280,Ozonized Jojoba Oil,ozonized jojoba oil
281,Pentapeptide-18,pentapeptide-18
282,Pyrus Malus Fruit Extract,pyrus malus fruit extract
282,Pyrus Malus Fruit Extract,apple extract
283,Colloidal Oatmeal Extract,colloidal oatmeal extract
284,Phytic Acid,phytic acid
285,Palmitoyl Oligopeptide,palmitoyl oligopeptide
286,Sea Salt,sea salt
286,Sea Salt,dead sea salt and european spa salt
287,Rosa Damascena Flower Oil,rosa damascena flower oil
287,Rosa Damascena Flower Oil,rose oil
287,Rosa Damascena Flower Oil,rosa damascena (hydroessential rose) flower oil
287,Rosa Damascena Flower Oil,and damask rose flower oil
288,Acetyl Tetrapeptide-2,acetyl tetrapeptide-2
289,Hyaluronic Acid/Polyglutamic Acid Crosspolymer,hyaluronic acid/polyglutamic acid crosspolymer
290,Acetyl Tetrapeptide-5,acetyl tetrapeptide-5
291,Chamomilla Recutita Leaf Extract,chamomilla recutita leaf extract
291,Chamomilla Recutita Leaf Extract,chamomile leaf
292,Tromethamine,tromethamine
292,Tromethamine,ketorolac
292,Tromethamine,tris
292,Tromethamine,and tham
293,Ginkgo Biloba Leaf Extract,ginkgo biloba leaf extract
293,Ginkgo Biloba Leaf Extract,ginkgo leaf extract and ginkgo extract
294,Hydrolyzed Rice Protein,hydrolyzed rice protein
295,Tazarotene,tazarotene
296,Sclerocarya Birrea Seed Oil,sclerocarya birrea seed oil
296,Sclerocarya Birrea Seed Oil,marula seed oil
297,Decyl Glucoside,decyl glucoside
298,Panax Ginseng Root,panax ginseng root
299,Chlorella Vulgaris Extract,chlorella vulgaris extract
300,Dipropylene Glycol,dipropylene glycol
300,Dipropylene Glycol,dpg
301,Calophyllum Inophyllum Seed Oil,calophyllum inophyllum seed oil
301,Calophyllum Inophyllum Seed Oil,tamanu oil
302,Threonine,threonine
303,Camellia Sinensis Extract,camellia sinensis extract
304,Soluble Collagen,soluble collagen
305,Lactococcus Ferment Lysate,lactococcus ferment lysate
306,Camellia Sinensis Seed Oil,camellia sinensis seed oil
306,Camellia Sinensis Seed Oil,green tea seed oil
307,Ficus Carica Fruit Extract,ficus carica fruit extract
307,Ficus Carica Fruit Extract,fig extract and fig
308,Aloe Barbadensis Flower Extract,aloe barbadensis flower extract
309,Acetyl Dipeptide-1 Cetyl Ester,acetyl dipeptide-1 cetyl ester
310,Hexapeptide-11,hexapeptide-11
311,Calendula Officinalis Extract,calendula officinalis extract
311,Calendula Officinalis Extract,calendula total
312,Aspartic Acid,aspartic acid
313,Lactobacillus/Centella Asiatica Extract Ferment Filtrate,lactobacillus/centella asiatica extract ferment filtrate
314,Stearyl Alcohol,stearyl alcohol
314,Stearyl Alcohol,octadecan-1-ol
315,Lysine,lysine
316,Shea Butter Glycerides,shea butter glycerides
317,Tocopherol/Wheat Polypeptides,tocopherol/wheat polypeptides
318,Saccharide Isomerate,saccharide isomerate
319,Sodium Salicylate,sodium salicylate
320,Charcoal Powder,charcoal powder
321,Sh-Oligopeptide-2,sh-oligopeptide-2
322,Astragalus Membranaceus Root Extract,astragalus membranaceus root extract
322,Astragalus Membranaceus Root Extract,milk vetch and huang qi
323,Phenylalanine,phenylalanine
324,Maltodextrin,maltodextrin
324,Maltodextrin,honey powder
325,Betula Alba Juice,betula alba juice
325,Betula Alba Juice,birch juice
326,Benzoic Acid,benzoic acid
327,Sodium Cocoyl Isethionate,sodium cocoyl isethionate
