,name,synonym
3743,Hydroxypropyltrimonium Honey,Honeyquat
1116,Lonicera Caprifolium Flower Extract,Honeysuckle Flower Extract
8116,Humulus Lupulus Extract,Hops Extract
1005,Aesculus Hippocastanum Extract,Horse Chestnut Extract
3397,Baptisia Tinctoria Root Extract,Horseflyweed
1379,Equisetum Arvense Extract,"Horsetail Extract, Shavegrass"
1979,Equisetum Arvense Juice,Horsetail Juice
7662,Equisetum Arvense Powder,Horsetail Powder
2901,Astragalus Membranaceus Extract,Huang Qi Extract
1,Hyaluronic Acid,Hyaluronan
11,Sodium Hyaluronate,"Hyaluronic Acid, Hyaluronic Sodium,Hyaluronic Salt"
891,Aluminum Hydroxide,Hydrated Alumina
1823,Chromium Hydroxide Green,Hydrated Chrome Oxide
259,Hydrogenated Polyisobutene,Hydrogenated Polyisobutane
225,Hydroxyethyl Urea,Hydrovance
416,Hydroxyethylcellulose,Hydroxyethyl Cellulose
3516,Hydroxypropylcellulose,Hydroxypropyl Cellulose
3738,Agastache Mexicana Flower/Leaf/Stem Extract,Hyssop
7077,Hyssopus Officinalis Extract,Hyssop Extract
1535,Palm Oil Aminopropanediol Amides/Esters,Ω6 Ceramide
2545,Ichthammol,"Ichthyol, Ammonium Bituminosulfonate"
3558,Pongamia Glabra Seed Oil,Indian Beech
1077,Boswellia Serrata Extract,Indian Frankincense Extract
2038,Peat,Irish Moore Mud
246,Chondrus Crispus Extract,"Irish Moss Extract, Carrageen Moss Extract"
579,Ci 77492,"Iron Iii Oxide, Yellow Oxide"
262,Diethylhexyl Butamido Triazone,Iscotrizinol
1273,Isostearyl Alcohol,Isooctadecan-1-Ol
1110,Isopropyl Isostearate,Isopropyl Isosterate
515,Coccinia Indica Fruit Extract,"Ivy Gourd, Scarlet Gourd, Tindora,Kowai Fruit"
436,Polygonum Cuspidatum Root Extract,"Japanese Knotweed, Asian Knotweed"
386,Dioscorea Japonica Root Extract,"Japanese Mountain Yam Root Extract, Yamaimo Root Extract,East Asian Mountain Yam Root Extract"
268,Artemisia Princeps Extract,"Japanese Mugwort, Yomogi"
640,Zanthoxylum Piperitum Fruit Extract,"Japanese Pepper Extract, Prickly Ash Pepper Extract"
9121,Jasminum Officinale Flower Oil,Jasmine Flower Oil
