,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
96,"2,4-Dimethyl-4,4a,5,9b-Tetrahydroindeno-1,3-Dioxin",,"2,4-Dimethyl-4,4a,5,9b-Tetrahydroindeno-1,3-Dioxin",2.4-Dimethyl-4.4a.5.9b-Tetrahydroindeno-1.3-Dioxin,"2,4-dimethyl-4,4a,5,9b-tetrahydroindeno-1,3-dioxin"
97,"2,4-Dimethyl-4-Phenyltetrahydrofuran",,"2,4-Dimethyl-4-Phenyltetrahydrofuran",2.4-Dimethyl-4-Phenyltetrahydrofuran,"2,4-dimethyl-4-phenyltetrahydrofuran"
98,"2,4-Dimethylbenzylacetate",,"2,4-Dimethylbenzylacetate",2.4-Dimethylbenzylacetate,"2,4-dimethylbenzylacetate"
99,"2,4-Dimethylcyclohexylmethyl Acetate",,"2,4-Dimethylcyclohexylmethyl Acetate",2.4-Dimethylcyclohexylmethyl Acetate,"2,4-dimethylcyclohexylmethyl acetate"
100,"2,4-Dimethylhepta-2,2-Dienal",,"2,4-Dimethylhepta-2,2-Dienal",2.4-Dimethylhepta-2.2-Dienal,"2,4-dimethylhepta-2,2-dienal"
101,"2,4-Dimethylpyridine",,"2,4-Dimethylpyridine",2.4-Dimethylpyridine,"2,4-dimethylpyridine"
102,"2,4-Hexadienal",,"2,4-Hexadienal",2.4-Hexadienal,"2,4-hexadienal"
103,"2,4-Hexadienol",,"2,4-Hexadienol",2.4-Hexadienol,"2,4-hexadienol"
104,"2,4-Hexadienyl Acetate",,"2,4-Hexadienyl Acetate",2.4-Hexadienyl Acetate,"2,4-hexadienyl acetate"
105,"2,4-Xylenol",,"2,4-Xylenol",2.4-Xylenol,"2,4-xylenol"
106,"2,5,5-Trimethyl-2-Phenyl-1,3-Dioxane",,"2,5,5-Trimethyl-2-Phenyl-1,3-Dioxane",2.5.5-Trimethyl-2-Phenyl-1.3-Dioxane,"2,5,5-trimethyl-2-phenyl-1,3-dioxane"
107,"2,5,6-Triamino-4-Pyrimidinol Sulfate",,"2,5,6-Triamino-4-Pyrimidinol Sulfate",2.5.6-Triamino-4-Pyrimidinol Sulfate,"2,5,6-triamino-4-pyrimidinol sulfate"
108,"2,5,6-Trimethyl-2-Cyclohexenone",,"2,5,6-Trimethyl-2-Cyclohexenone",2.5.6-Trimethyl-2-Cyclohexenone,"2,5,6-trimethyl-2-cyclohexenone"
109,"2,5-Dihydro-4-Methylthiazol-5-Ethanol",,"2,5-Dihydro-4-Methylthiazol-5-Ethanol",2.5-Dihydro-4-Methylthiazol-5-Ethanol,"2,5-dihydro-4-methylthiazol-5-ethanol"
110,"2,5-Dihydroxybenzoic Acid",,"2,5-Dihydroxybenzoic Acid",2.5-Dihydroxybenzoic Acid,"2,5-dihydroxybenzoic acid"
111,"2,5-Dihydroxybenzoyl Dipeptide-27",,"2,5-Dihydroxybenzoyl Dipeptide-27",2.5-Dihydroxybenzoyl Dipeptide-27,"2,5-dihydroxybenzoyl dipeptide-27"
112,"2,5-Dihydroxybenzoyl Dipeptide-48",,"2,5-Dihydroxybenzoyl Dipeptide-48",2.5-Dihydroxybenzoyl Dipeptide-48,"2,5-dihydroxybenzoyl dipeptide-48"
113,"2,5-Dimethyl-2-Vinylhex-4-Enal",,"2,5-Dimethyl-2-Vinylhex-4-Enal",2.5-Dimethyl-2-Vinylhex-4-Enal,"2,5-dimethyl-2-vinylhex-4-enal"
114,"2,5-Dimethylpyrazine",,"2,5-Dimethylpyrazine",2.5-Dimethylpyrazine,"2,5-dimethylpyrazine"
115,"2,5-Xylenol",,"2,5-Xylenol",2.5-Xylenol,"2,5-xylenol"
116,"2,6,6-Trimethyl-1-Cyclohexene-1-Acetaldehyde",,"2,6,6-Trimethyl-1-Cyclohexene-1-Acetaldehyde",2.6.6-Trimethyl-1-Cyclohexene-1-Acetaldehyde,"2,6,6-trimethyl-1-cyclohexene-1-acetaldehyde"
117,"2,6,6-Trimethyl-2-Cyclohexene-1-Acetaldehyde",,"2,6,6-Trimethyl-2-Cyclohexene-1-Acetaldehyde",2.6.6-Trimethyl-2-Cyclohexene-1-Acetaldehyde,"2,6,6-trimethyl-2-cyclohexene-1-acetaldehyde"
118,"2,6,6-Trimethyl-2-Cyclohexene-1-Carbaldehyde",,"2,6,6-Trimethyl-2-Cyclohexene-1-Carbaldehyde",2.6.6-Trimethyl-2-Cyclohexene-1-Carbaldehyde,"2,6,6-trimethyl-2-cyclohexene-1-carbaldehyde"
119,"2,6,6-Trimethylcyclohexene-1-Carbaldehyde",,"2,6,6-Trimethylcyclohexene-1-Carbaldehyde",2.6.6-Trimethylcyclohexene-1-Carbaldehyde,"2,6,6-trimethylcyclohexene-1-carbaldehyde"
120,"2,6-Diamino-3-((Pyridin-3-Yl)Azo)Pyridine",,"2,6-Diamino-3-((Pyridin-3-Yl)Azo)Pyridine",2.6-Diamino-3-((Pyridin-3-Yl)Azo)Pyridine,"2,6-diamino-3-((pyridin-3-yl)azo)pyridine"
121,"2,6-Diaminopyridine",,"2,6-Diaminopyridine",2.6-Diaminopyridine,"2,6-diaminopyridine"
122,"2,6-Diaminopyridine Sulfate",,"2,6-Diaminopyridine Sulfate",2.6-Diaminopyridine Sulfate,"2,6-diaminopyridine sulfate"
123,"2,6-Dicarboxypyridine",,"2,6-Dicarboxypyridine",2.6-Dicarboxypyridine,"2,6-dicarboxypyridine"
124,"2,6-Dihydroxy-3,4-Dimethylpyridine",,"2,6-Dihydroxy-3,4-Dimethylpyridine",2.6-Dihydroxy-3.4-Dimethylpyridine,"2,6-dihydroxy-3,4-dimethylpyridine"
125,"2,6-Dihydroxyethylaminotoluene",,"2,6-Dihydroxyethylaminotoluene",2.6-Dihydroxyethylaminotoluene,"2,6-dihydroxyethylaminotoluene"
126,"2,6-Dimethoxy-3,5-Pyridinediamine Hcl",,"2,6-Dimethoxy-3,5-Pyridinediamine Hcl",2.6-Dimethoxy-3.5-Pyridinediamine Hcl,"2,6-dimethoxy-3,5-pyridinediamine hcl"
127,"2,6-Dimethyl-4-Heptanol",,"2,6-Dimethyl-4-Heptanol",2.6-Dimethyl-4-Heptanol,"2,6-dimethyl-4-heptanol"
128,"2,6-Dimethyl-4-Heptanone",,"2,6-Dimethyl-4-Heptanone",2.6-Dimethyl-4-Heptanone,"2,6-dimethyl-4-heptanone"
129,"2,6-Dimethyl-7-Octen-2-Ol",,"2,6-Dimethyl-7-Octen-2-Ol",2.6-Dimethyl-7-Octen-2-Ol,"2,6-dimethyl-7-octen-2-ol"
130,"2,6-Dimethylhepta-1,5-Diene",,"2,6-Dimethylhepta-1,5-Diene",2.6-Dimethylhepta-1.5-Diene,"2,6-dimethylhepta-1,5-diene"
131,"2,6-Dimethylheptanol",,"2,6-Dimethylheptanol",2.6-Dimethylheptanol,"2,6-dimethylheptanol"
132,"2,6-Dimethyl-P-Phenylenediamine",,"2,6-Dimethyl-P-Phenylenediamine",2.6-Dimethyl-P-Phenylenediamine,"2,6-dimethyl-p-phenylenediamine"
133,"2,6-Dimethyl-P-Phenylenediamine Hcl",,"2,6-Dimethyl-P-Phenylenediamine Hcl",2.6-Dimethyl-P-Phenylenediamine Hcl,"2,6-dimethyl-p-phenylenediamine hcl"
134,"2,6-Dimethylpyrazine",,"2,6-Dimethylpyrazine",2.6-Dimethylpyrazine,"2,6-dimethylpyrazine"
135,"2,6-Xylenol",,"2,6-Xylenol",2.6-Xylenol,"2,6-xylenol"
136,"2,7-Dimethyl-10-Isopropyl-1-Oxaspiro-3,6-Decadiene",,"2,7-Dimethyl-10-Isopropyl-1-Oxaspiro-3,6-Decadiene",2.7-Dimethyl-10-Isopropyl-1-Oxaspiro-3.6-Decadiene,"2,7-dimethyl-10-isopropyl-1-oxaspiro-3,6-decadiene"
137,"2,7-Dimethyl-5-Octen-4-One",,"2,7-Dimethyl-5-Octen-4-One",2.7-Dimethyl-5-Octen-4-One,"2,7-dimethyl-5-octen-4-one"
138,"2,7-Dimethyl-6-Octen-4-One",,"2,7-Dimethyl-6-Octen-4-One",2.7-Dimethyl-6-Octen-4-One,"2,7-dimethyl-6-octen-4-one"
