IngredientIdentifier,Name,Description,CASCODE,ECHA_LINK,EntityId,CategoryId,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Id,CreatedBy,CreatedOn,LastModifiedBy,LastModifiedOn,IsActive,column3
G05508,Sodium Shale Oil Sulfonate,,,,,1,FALSE,FALSE,FALSE,FALSE,3717,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05509,Ptfe,,,,,1,FALSE,FALSE,FALSE,FALSE,3718,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05510,Punica Granatum (Pomegranate) Fruit Water,,,,,1,FALSE,FALSE,FALSE,FALSE,3719,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05511,Linum Usitatissimum Flower Extract / Linseed Flower Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3720,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05512,Punica Granatum (Pomegranate) Seed Powder,,,,,1,FALSE,FALSE,FALSE,FALSE,3721,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05513,Punica Granatum (Pomegranate) Sterols,,,,,1,FALSE,FALSE,FALSE,FALSE,3722,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05514,Punica Granatum Fruit Juice,,,,,1,FALSE,FALSE,FALSE,FALSE,3723,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05515,Cichorium Intybus (Chicory) Root Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3724,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05516,Pvm/Ma Copolymer,,,,,1,FALSE,FALSE,FALSE,FALSE,3725,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05517,Ormenis Multicaulis Flower Cera (Ormenis Multicaulis Flower Wax),,,,,1,FALSE,FALSE,FALSE,FALSE,3726,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05518,Pvm/Ma Decadiene Crosspolymer,,,,,1,FALSE,FALSE,FALSE,FALSE,3727,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05519,Tripleurospermum Maritimum Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3728,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05520,Pyridoxine Hcl,,,,,1,FALSE,FALSE,FALSE,FALSE,3729,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05521,Rhododendron Ferrugineum Leaf Cell Culture Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3730,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05522,Plankton Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3731,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05523,Pyrophosphate,,,,,1,FALSE,FALSE,FALSE,FALSE,3732,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05524,Caesalpinia Spinosa Fruit Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3733,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05525,Pyrus Malus (Apple) Fruit Water,,,,,1,FALSE,FALSE,FALSE,FALSE,3734,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05526,Avena Strigosa (Oat) Seed Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3735,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05527,Rosa Rugosa Flower Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3736,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05528,Pinus Sylvestris (Pine) Needle Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3737,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05529,Quartz,,,,,1,FALSE,FALSE,FALSE,FALSE,3738,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05530,Quaternium-22,,,,,1,FALSE,FALSE,FALSE,FALSE,3739,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05531,Crataegus Monogyna Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3740,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05532,Quaternium-33,,,,,1,FALSE,FALSE,FALSE,FALSE,3741,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05533,Crataegus Oxyacantha (Hawthorn) Flower Water,,,,,1,FALSE,FALSE,FALSE,FALSE,3742,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05534,Triticum Aestivum Germ Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3743,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05535,Quaternium-80,,,,,1,FALSE,FALSE,FALSE,FALSE,3744,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05536,Citrus Paradisi Peel Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3745,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05537,Juglans Regia (Walnut) Shell Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3746,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05538,Quaternium-87,,,,,1,FALSE,FALSE,FALSE,FALSE,3747,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05539,Quaternium-90 Bentonite,,,,,1,FALSE,FALSE,FALSE,FALSE,3748,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05540,Raspberry Ketone,,,,,1,FALSE,FALSE,FALSE,FALSE,3749,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05541,Prunus Avium (Sweet Cherry) Seed Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3750,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05542,Elettaria Cardamomum Seed Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3751,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05543,Resveratrol,,,,,1,FALSE,FALSE,FALSE,FALSE,3752,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05544,Retinyl Acetate,,,,,1,FALSE,FALSE,FALSE,FALSE,3753,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G04112,Citrus Limonum (Lemon) Peel Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3754,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05546,Taraxacum Officinale Root Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3755,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05547,Lithothamnium Calcarum Extract / Lithothamnion Calcareum Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3756,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05548,Lithothamnium Calcarum Extract / Lithothamnium Calcarum Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3757,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05549,Retinyl Palmitate,,,,,1,FALSE,FALSE,FALSE,FALSE,3758,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05550,Rhodiola Rosea Root Water,,,,,1,FALSE,FALSE,FALSE,FALSE,3759,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05553,Ribes Nigrum (Black Currant) Leaf Water,,,,,1,FALSE,FALSE,FALSE,FALSE,3760,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05554,Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,,,,,1,FALSE,FALSE,FALSE,FALSE,3761,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05555,Solanum Melongena Fruit Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3762,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05556,Riboflavin,,,,,1,FALSE,FALSE,FALSE,FALSE,3763,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05557,Rosa Canina Seeds,,,,,1,FALSE,FALSE,FALSE,FALSE,3764,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
