Ingredient ID,Ingredient,Usage,No.of products contained in
310,Acetyl Dipeptide-1 Cetyl Ester,Skin Conditioning,116
311,Hexapeptide-11,Skin Conditioning,67
312,Calendula Officinalis Extract,Skin Conditioning,100
313,Aspartic Acid,"Masking, Skin Conditioning",391
314,Lactobacillus/Centella Asiatica ...,Skin Conditioning,6
315,Stearyl Alcohol,"Emollient, Emulsifying, Emulsion Stabilising",1224
316,Lysine,Skin Conditioning,313
317,Shea Butter Glycerides,"Emulsifying, Emulsion Stabilising, Skin Conditioning",9
318,Tocopherol/Wheat Polypeptides,Skin Conditioning,1
319,Saccharide Isomerate,Humectant,614
320,Sodium Salicylate,Preservative,137
321,Charcoal Powder,"Absorbent, Abrasive",270
322,Sh-Oligopeptide-2,"Skin Conditioning, Skin Protecting",63
323,Astragalus Membranaceus Root Ext...,"Emollient, Skin Conditioning",44
324,Phenylalanine,"Masking, Skin Conditioning",366
325,Maltodextrin,"Absorbent, Emulsion Stabilising, Skin Conditioning",1352
326,Betula Alba Juice,"Astringent, Tonic",85
327,Benzoic Acid,"Masking, Preservative",903
328,Sodium Cocoyl Isethionate,Cleansing,574
329,Rosa Canina Fruit Extract,"Astringent, Skin Conditioning, Tonic",229
330,Cyclopentasiloxane,"Emollient, Skin Conditioning, Solvent",2085
331,Ethylhexyl Salicylate,"UV Absorber, UV Filter",1109
332,Carica Papaya Fruit Extract,Skin Conditioning,402
333,Prunus Armeniaca Kernel Oil,"Masking, Skin Conditioning",506
334,Fructooligosaccharides,"Humectant, Skin Conditioning",428
335,Royal Jelly,"",34
336,Hippophae Rhamnoides Extract,"Masking, Skin Conditioning",89
337,Histidine,"Humectant, Skin Conditioning",399
338,Centella Asiatica Oil,"Antimicrobial, Humectant, Skin Conditioning",34
339,Selenium Sulfide,"Antidandruff, Hair Conditioning",8
340,Saccharomyces Ferment,Skin Conditioning,112
341,Arnica Montana Flower Extract,"Masking, Perfuming, Skin Conditioning",272
342,Methylpropanediol,Solvent,972
343,Ulmus Davidiana Root Extract,Skin Conditioning,323
344,Sodium Polyacrylate,"Absorbent, Emollient, Emulsion Stabilising",900
345,Bacillus/Cinnamomum Cassia Bark/...,"Antioxidant, Skin Protecting",0
346,Saccharomyces Polypeptides,Skin Conditioning,8
347,Rose Extract,Skin Conditioning,118
348,Aloe Barbadensis Extract,Skin Conditioning,97
349,Cannabidiol - Derived From Extra...,"Antiseborrhoeic, Skin Conditioning, Antioxidant",2
350,Goat Milk,Skin Conditioning,22
351,Lavandula Angustifolia Oil,"Masking, Tonic",1049
352,Coco-Glucoside,"Cleansing, Foaming",828
353,Succinic Acid,"Masking, Buffering",87
354,Piroctone Olamine,Preservative,109
355,Tremella Fuciformis Sporocarp Ex...,"Humectant, Skin Conditioning, Antioxidant",126
356,Polysorbate 20,Emulsifying,2318
357,Hydrolyzed Rice Extract,Skin Conditioning,35
358,Superoxide Dismutase,"Skin Conditioning, Antioxidant",118
359,Moringa Oleifera Seed Oil,"Emollient, Skin Conditioning",453
360,Melia Azadirachta Leaf Extract,Skin Conditioning,815
361,Hydroxypropyltrimonium Hyaluronate,Film Forming,469
362,Ceramide 1 A,Skin Conditioning,7
363,Valine,"Masking, Skin Conditioning",384
364,Hippophae Rhamnoides Fruit Oil,Skin Protecting,137
365,Curcuma Longa Root,Skin Conditioning,63
366,Glucosyl Ceramide,Skin Conditioning,20
367,Lactobacillus/Soybean Ferment Ex...,Skin Conditioning,166
368,Dicaprylyl Carbonate,"Emollient, Skin Conditioning",920
369,Lauric Acid,"Cleansing, Emulsifying",553
370,Hexylresorcinol,Antimicrobial,56
371,Camellia Oleifera Seed Oil,Skin Conditioning,203
372,Beeswax,"Emulsion Stabilising, Masking, Skin Conditioning",659
373,Glyceryl Caprylate,"Emollient, Emulsifying",1536
374,Glycine Soja Oil,"Emollient, Skin Conditioning",986
375,Vaccinium Angustifolium Fruit Ex...,"Skin Protecting, Soothing",291
376,Zingiber Officinale Root Extract,"Masking, Skin Conditioning, Tonic",461
377,Vitis Vinifera,"Masking, Skin Protecting",37
378,Glycyrrhiza Glabra Root,Skin Conditioning,20
379,Terminalia Ferdinandiana Fruit E...,"Bleaching, Antioxidant",285
380,Corallina Officinalis Extract,Skin Conditioning,575
381,Epigallocatechin Gallatyl Glucoside,"Skin Conditioning, Antioxidant",28
382,Citrullus Lanatus Fruit Extract,Skin Conditioning,252
383,Mannitol,"Humectant, Masking, Moisturising",333
384,Fructose,Humectant,349
385,Sucrose,"Humectant, Skin Conditioning, Soothing",620
386,Dioscorea Japonica Root Extract,Skin Conditioning,152
387,Avena Sativa Seed Water,Solvent,5
388,Hydrogenated Retinol,Skin Conditioning,4
389,Oligopeptide-2,Skin Conditioning,40
390,Laminaria Japonica Extract,Skin Protecting,247
391,Amaranthus Caudatus Seed Extract,Skin Conditioning,105
392,Carthamus Tinctorius Seed Oil,"Masking, Skin Conditioning",682
393,Lecithin,"Emollient, Emulsifying, Skin Conditioning",2220
394,Leuconostoc/Radish Root Ferment ...,Antimicrobial,725
395,Camellia Sinensis Seed Extract,"Humectant, Perfuming, Skin Conditioning",27
396,Melia Azadirachta Flower Extract,Skin Conditioning,682
397,Retinyl Propionate,Skin Conditioning,24
